version,n,threads,rep,time_s,gflops
v5_blocked_NB96,8000,2,2,34.568890,4.9370
v5_blocked_NB96,8000,2,3,34.579643,4.9355
v5_blocked_NB96,8000,4,1,17.103186,9.9786
v5_blocked_NB96,8000,4,2,17.115516,9.9715
v5_blocked_NB96,8000,4,3,17.112631,9.9731
v5_blocked_NB96,8000,8,1,8.685245,19.6502
v5_blocked_NB96,8000,8,2,8.681557,19.6585
v5_blocked_NB96,8000,8,3,8.683195,19.6548
v5_blocked_NB96,8000,16,1,4.365461,39.0948
v5_blocked_NB96,8000,16,2,4.369954,39.0546
v5_blocked_NB96,8000,16,3,4.367285,39.0784
v5_blocked_NB96,8000,32,1,2.231173,76.4919
v5_blocked_NB96,8000,32,2,2.230432,76.5173
v5_blocked_NB96,8000,32,3,2.230328,76.5209
v5_blocked_NB96,8000,48,1,1.529994,111.5473
v5_blocked_NB96,8000,48,2,1.530102,111.5394
v5_blocked_NB96,8000,48,3,1.537766,110.9835
v5_blocked_NB96,8000,64,1,1.261404,135.2989
v5_blocked_NB96,8000,64,2,1.282587,133.0644
v5_blocked_NB96,8000,64,3,1.286545,132.6550
v5_blocked_NB96,8000,76,1,1.155465,147.7039
v5_blocked_NB96,8000,76,2,1.162409,146.8216
v5_blocked_NB96,8000,76,3,1.168007,146.1178
v6_blocked_NB96,2000,1,1,0.258268,10.3252
v6_blocked_NB96,2000,1,2,0.258247,10.3260
v6_blocked_NB96,2000,1,3,0.258059,10.3335
v6_blocked_NB96,2000,2,1,0.157156,16.9683
v6_blocked_NB96,2000,2,2,0.156092,17.0839
v6_blocked_NB96,2000,2,3,0.155491,17.1499
v6_blocked_NB96,2000,4,1,0.092474,28.8369
v6_blocked_NB96,2000,4,2,0.092427,28.8515
v6_blocked_NB96,2000,4,3,0.092316,28.8863
v6_blocked_NB96,2000,8,1,0.054573,48.8645
v6_blocked_NB96,2000,8,2,0.054733,48.7212
v6_blocked_NB96,2000,8,3,0.054559,48.8766
v6_blocked_NB96,2000,16,1,0.029268,91.1114
v6_blocked_NB96,2000,16,2,0.028818,92.5362
v6_blocked_NB96,2000,16,3,0.028948,92.1202
v6_blocked_NB96,2000,32,1,0.018285,145.8375
v6_blocked_NB96,2000,32,2,0.017596,151.5514
v6_blocked_NB96,2000,32,3,0.017608,151.4452
v6_blocked_NB96,2000,48,1,0.014711,181.2724
v6_blocked_NB96,2000,48,2,0.014080,189.3908
v6_blocked_NB96,2000,48,3,0.013939,191.3120
v6_blocked_NB96,2000,64,1,0.013044,204.4428
v6_blocked_NB96,2000,64,2,0.011659,228.7230
